	APMC	Commodity	Month	Year	max_price
46764	ratanagari	coriander  	June	2016	1263
52735	akluj	coriander  	June	2015	3200
23594	vadgaon peth	coriander  	March	2015	100
52493	barshi	shevga	July	2016	5000
15333	chandrapur	pineapple	February	2016	568
23433	kolhapur	raddish	June	2015	6350
52783	barshi	chikoo	June	2016	3880
53433	barshi	chikoo	May	2016	2970
54207	barshi	brinjal	October	2016	4163
52496	barshi	tomato	July	2016	2445
52483	barshi	cabbage	July	2016	1486
52507	barshi	green chilli	July	2016	5190
52472	barshi	flower	July	2016	1641
54171	barshi	flower	October	2016	1447
1928	rahata	cabbage	July	2016	2015
54656	barshi	lemon	September	2016	4647
54174	barshi	cluster bean	October	2016	4821
54178	barshi	cucumber	October	2016	1590
40105	pune	lemon	April	2016	7933
